Name,System,Developer,Publisher,Genre,Rating,Column 1,Column 2
Battle Flip Shot,NEOGEO,Visco,SNK,Sports,0.6,,
Battle Garegga,FBNEO,Raizing,Raizing,"Shoot'em Up / Vertical, Shoot'em Up",0.8,,
Battle Lode Runner,PCENGINE,Brøderbund Software,Brøderbund Software,"Action, Puzzle-Game",0.6,,
Battle Sphere Gold,JAGUAR,ScatoLogic,ScatoLogic,Shoot'em Up,0.7,,
Battletoads,FBNEO,Rareware,Electronic Arts,"Fight, Fight / 2.5D, Beat'em Up",0.8,,
Battletoads & Double Dragon,MEGADRIVE,Rareware,Tradewest,Beat'em Up,0.8,,
Battletoads & Double Dragon,NES,Rareware,Nintendo,Beat'em Up,0.6,,
Batty,ZXSPECTRUM,Elite Systems,Dennis Publishing,Action,,,
Bay Route,FBNEO,Sunsoft,SEGA,Platform / Shooter Scrolling,0.4,,
BC Racers,SEGA32X,Core Design,Front Street Publishing,"Race, Driving",0.55,,
BC's Quest for Tires,COLECOVISION,Sydney Development,Sierra On-Line,Action,0.95,,
Beamrider,COLECOVISION,Activision,Activision,Action,0.75,,
Beetle Adventure Racing!,N64,Paradigm Entertainment,Electronic Arts,"Race, Driving",0.8,,
Behind Closed Doors,ZXSPECTRUM,The Balrog (John Wilson),Zenobi Software,Adventure,,,
Bells & Whistles,FBNEO,Konami,Konami,Shoot'em up / Vertical,0.7,,
Berzerk,FBNEO,Stern Electronics,Stern Electronics,Action / Labyrinth,0.2,,
Beyond Good & Evil,GAMECUBE,Ubisoft,Ubisoft,Adventure / RealTime 3D,0.8,,
Beyond Oasis,MEGADRIVE,SEGA,SEGA,Role Playing Games,0.8,,
Big Karnak,FBNEO,Gaelco,Gaelco,Platform / Fighter Scrolling,0.5,,
Biomechanical Toy,FBNEO,Zeus Software,Gaelco,Platform / Shooter Scrolling,0.7,,
Bionic Commando,FBNEO,Capcom,Capcom,"Platform, Platform / Shooter Scrolling",0.4,,
Bionicle,GBA,Mobius Entertainment,THQ,Adventure,0.7,,
Black,PS2,Criterion Games,EA Games,Shooter / FPV,0.8,,
Black Belt,MASTERSYSTEM,SEGA,SEGA,Beat'em Up,0.4,,
Black Heart,FBNEO,UPL,UPL,Shoot'em up / Horizontal,0.5,,
Black Tiger,FBNEO,Capcom,Capcom,"Platform, Platform / Fighter Scrolling",0.8,,
Blackthorne,SEGA32X,Interplay,SEGA,Platform / Shooter Scrolling,0.7,,
Blackthorne,SNES,Blizzard Entertainment,Interplay,Platform / Shooter Scrolling,0.75,,
Blade Master,FBNEO,Irem,Irem,Beat'em Up,0.5,,
Blast Corps,N64,Rareware,Nintendo,"Race, Driving, Action, Puzzle-Game",0.6,,
Blaze On,FBNEO,A.I,Atlus,Shoot'em up / Horizontal,0.5,,
Blazing Lazers,PCENGINE,Compile,NEC,"Shoot'em Up, Shoot'em Up / Vertical",0.8,,
Blazing Star,FBNEO,Yumekobo,SNK,"Shoot'em Up / Horizontal, Shoot'em Up",0.8,,
Blazing Star,NEOGEO,Yumekobo,SNK,"Shoot'em Up / Horizontal, Shoot'em Up",0.8,,
Blender Bros.,GBA,Hudson,Infogrames,Platform,0.8,,
Blinky's Scary School,ZXSPECTRUM,Zeppelin Games,Zeppelin Games,Action,0.2,,
Blizzard Pass,ZXSPECTRUM,Adventure Soft,Adventure Soft,Action,0.8,,
Block Hole,FBNEO,Konami,Konami,Various,0.5,,
Block Out,FBNEO,Technos Japan,Technos Japan,Puzzle-Game / Fall,0.7,,
Blockade Runner,COLECOVISION,Interphase Technologies,Interphase Technologies,Action,0.4,,
Blockout,MEGADRIVE,California Dreams,Electronic Arts,Puzzle-Game,0.4,,
Blood Omen : Legacy of Kain (USA),PSX,Crystal Dynamics,Eidos Interactive,"Action Rpg, Role Playing Game",0.8,,
Blood Warrior,FBNEO,Kaneko,Kaneko,Fight / Versus,0.5,,
Bloody Roar (USA),PSX,Hudson,Hudson,Fighting,0.8,,
Blue's Journey,FBNEO,ADK,SNK,Platform / Fighter Scrolling,0.5,,
Blue's Journey,NEOGEO,ADK,SNK,Platform / Fighter Scrolling,0.5,,
BMX Kidz,ZXSPECTRUM,Firebird,Firebird,Sports,,,
BMX Racers,ZXSPECTRUM,,Mastertronic,Action,,,
Bo Jackson : Two Games in One,GB,Equilibrium,THQ,Sports,0.55,,
Bobby Bearing,ZXSPECTRUM,"Robert Figgins, Trevor Figgins",The Edge Software,Action,,,
Bobsleigh,ZXSPECTRUM,Richard Hughes,Digital Integration,Sports,,,
Boggle Plus,GB,Sculptured Software,Parker Brothers,Board game,0.6,,
Bomb Jack,FBNEO,Tehkan,Tehkan,Platform / Run Jump,0.8,,
Bomb Jack,GB,Tehkan,Infogrames,Platform / Run Jump,0.6,,
Bomb Jack,ZXSPECTRUM,Tehkan Ltd.,Elite Systems,Action,0.8,,
Bomb Jack II,ZXSPECTRUM,Elite Systems,Elite Systems,Action,0.5,,
Bomberman,PCENGINE,Hudson,Turbo Technologies,Action / Labyrinth,0.8,,
